suite,space_m,node_count,packet_size_bits,initial_energy_j,pso_c1,pso_c2,pso_omega,transmission_range_m,cluster_head_ratio,eulc_candidate_ratio,pso_particles,pso_iterations,runs,seed_start,seed_end,max_rounds,fnd_mean,fnd_std,fnd_min,fnd_max,hnd_mean,lnd_mean,first_5pct_mean,residual_energy_pct_at_stop,dead_nodes_pct_at_stop,packets_received_mean,alive_nodes_mean,censored_runs,elapsed_sec
ch_ratio_sweep_100m_v2,100,200,6400,0.5,1.5,1.5,0.65,150.0,0.1,0.2,4,3,3,42,44,6000,319,86.5679,199,400,,,,77.72,0.5,3123,199,0,0.69
ch_ratio_sweep_100m_v2,100,300,6400,0.5,1.5,1.5,0.65,150.0,0.1,0.2,4,3,3,42,44,6000,65,9.9331,57,79,,,,95.46,0.33,763.3333,299,0,0.47
ch_ratio_sweep_100m_v2,100,500,6400,0.5,1.5,1.5,0.65,150.0,0.1,0.2,4,3,3,42,44,6000,38.6667,1.2472,37,40,,,,97.29,0.2,766.6667,499,0,0.35
ch_ratio_sweep_100m_v2,100,100,6400,0.5,1.5,1.5,0.65,150.0,0.15,0.2,4,3,3,42,44,6000,372.6667,232.7249,60,618,,,,74.05,1.0,2002.3333,99,0,0.62
ch_ratio_sweep_100m_v2,100,200,6400,0.5,1.5,1.5,0.65,150.0,0.15,0.2,4,3,3,42,44,6000,319,86.5679,199,400,,,,77.72,0.5,3123,199,0,0.63
ch_ratio_sweep_100m_v2,100,300,6400,0.5,1.5,1.5,0.65,150.0,0.15,0.2,4,3,3,42,44,6000,65,9.9331,57,79,,,,95.46,0.33,763.3333,299,0,0.37
ch_ratio_sweep_100m_v2,100,500,6400,0.5,1.5,1.5,0.65,150.0,0.15,0.2,4,3,3,42,44,6000,38.6667,1.2472,37,40,,,,97.29,0.2,766.6667,499,0,0.37
ch_ratio_sweep_100m_v2,100,100,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,372.6667,232.7249,60,618,,,,74.05,1.0,2002.3333,99,0,0.69
ch_ratio_sweep_100m_v2,100,200,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,319,86.5679,199,400,,,,77.72,0.5,3123,199,0,0.73
ch_ratio_sweep_100m_v2,100,300,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,65,9.9331,57,79,,,,95.46,0.33,763.3333,299,0,0.41
ch_ratio_sweep_100m_v2,100,500,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,38.6667,1.2472,37,40,,,,97.29,0.2,766.6667,499,0,0.41
ch_ratio_sweep_100m_v2,100,100,6400,0.5,1.5,1.5,0.65,150.0,0.25,0.2,4,3,3,42,44,6000,372.6667,232.7249,60,618,,,,74.05,1.0,2002.3333,99,0,0.68
ch_ratio_sweep_100m_v2,100,200,6400,0.5,1.5,1.5,0.65,150.0,0.25,0.2,4,3,3,42,44,6000,319,86.5679,199,400,,,,77.72,0.5,3123,199,0,0.68
ch_ratio_sweep_100m_v2,100,300,6400,0.5,1.5,1.5,0.65,150.0,0.25,0.2,4,3,3,42,44,6000,65,9.9331,57,79,,,,95.46,0.33,763.3333,299,0,0.36
ch_ratio_sweep_100m_v2,100,500,6400,0.5,1.5,1.5,0.65,150.0,0.25,0.2,4,3,3,42,44,6000,38.6667,1.2472,37,40,,,,97.29,0.2,766.6667,499,0,0.41
ch_ratio_sweep_100m_v2,100,100,6400,0.5,1.5,1.5,0.65,150.0,0.3,0.2,4,3,3,42,44,6000,372.6667,232.7249,60,618,,,,74.05,1.0,2002.3333,99,0,0.66
ch_ratio_sweep_100m_v2,100,200,6400,0.5,1.5,1.5,0.65,150.0,0.3,0.2,4,3,3,42,44,6000,319,86.5679,199,400,,,,77.72,0.5,3123,199,0,0.84
ch_ratio_sweep_100m_v2,100,300,6400,0.5,1.5,1.5,0.65,150.0,0.3,0.2,4,3,3,42,44,6000,65,9.9331,57,79,,,,95.46,0.33,763.3333,299,0,0.38
ch_ratio_sweep_100m_v2,100,500,6400,0.5,1.5,1.5,0.65,150.0,0.3,0.2,4,3,3,42,44,6000,38.6667,1.2472,37,40,,,,97.29,0.2,766.6667,499,0,0.39
candidate_ratio_sweep_100m_v2,100,100,6400,0.5,1.5,1.5,0.65,150.0,0.05,0.05,4,3,3,42,44,6000,13,0.0,13,13,,,,99.1,1.0,12,99,0,0.35
candidate_ratio_sweep_100m_v2,100,200,6400,0.5,1.5,1.5,0.65,150.0,0.05,0.05,4,3,3,42,44,6000,11,3.266,7,15,,,,99.23,0.5,23.3333,199,0,0.32
candidate_ratio_sweep_100m_v2,100,300,6400,0.5,1.5,1.5,0.65,150.0,0.05,0.05,4,3,3,42,44,6000,13,1.633,11,15,,,,99.09,0.33,68.6667,299,0,0.32
candidate_ratio_sweep_100m_v2,100,500,6400,0.5,1.5,1.5,0.65,150.0,0.05,0.05,4,3,3,42,44,6000,8.6667,1.2472,7,10,,,,99.39,0.2,66,499,0,0.35
candidate_ratio_sweep_100m_v2,100,100,6400,0.5,1.5,1.5,0.65,150.0,0.1,0.1,4,3,3,42,44,6000,31.3333,8.0554,20,38,,,,97.82,1.0,61.3333,99,0,0.31
candidate_ratio_sweep_100m_v2,100,200,6400,0.5,1.5,1.5,0.65,150.0,0.1,0.1,4,3,3,42,44,6000,23.3333,6.1824,18,32,,,,98.37,0.5,113.6667,199,0,0.32
candidate_ratio_sweep_100m_v2,100,300,6400,0.5,1.5,1.5,0.65,150.0,0.1,0.1,4,3,3,42,44,6000,29.3333,7.3182,19,35,,,,97.94,0.33,253.6667,299,0,0.35
candidate_ratio_sweep_100m_v2,100,500,6400,0.5,1.5,1.5,0.65,150.0,0.1,0.1,4,3,3,42,44,6000,22.3333,6.3421,16,31,,,,98.43,0.2,333,499,0,0.37
